Country,Identifier / Registry Name,Registry Type,Legal Forms / Entity Types Covered,Lookup URL,Programmatic Access,Manual Lookup,Programmatic Access — Cost & Access,Manual Access — Cost & Access,API/Interface Type,Change/Updates Access,Data Model Docs,Notes/Legal
Bosnia & Herz.,Trade register number (JIB),Trade register,Payment and entity account holders,cbbh.ba,Yes – file download request,Yes – individual reports,KM 100 monthly fee for access 15,Written request at branch 15,FileAct; Web service 15,Daily delta downloads 15,CBBH instructions 15,Single Registry of Accounts 15
Belgium,Unternehmensnummer (CBE/KBO),Business register,All Belgian entities and establishments,kbopub.economie.fgov.be,Yes – Public Search web service,Yes – free portal,Open data free; official WS paid,Free basic lookup; linked docs,REST/SOAP,Monthly open data; real-time portal 9,CBE Data Model,Integrated tax/business ID
Belgium,Tax Identification Number,Individuals,All Belgian residents / citizens,myminfin.be,Yes – restricted via e-gov portal,Yes – own data lookup,Restricted to authorized entities,Gated via eID login,Web API,Reflected in National Register,11-digit numeric,Numéro national
Bulgaria,Registration number (BULSTAT),Business register,Non-merchants, freelancers, rep offices,portal.registryagency.bg,Electronic via digital certs,Yes – free public search,BGN 15-180 entry fees; web free,Free search for particulars,Digital certificate auth,24-hour accessibility,QES signature required,Unique ID for business
Bulgaria,Tax Identification Number,Individuals,Bulgarian citizens (EGN) / Foreigners (LNCH),nra.bg,Restricted – via NRA services,Yes – own TIN verify,N/A,Free check on NRA portal,SOAP/XML,Statutory updates,10-digit numeric,Managed by NRA
Bermuda,Registration number (ROC),Company register,All Bermuda-incorporated companies,registrarofcompanies.gov.bm,No direct public API,Yes – search; paid docs,Access via 3rd party brokers,Account & fee per entity,Portal login,Statutory filings only,Foster Moore portal model,2021 digital migration
Brazil,Identification number (CNPJ),Tax identification,All legal entities in Brazil,cnpj.receita.fazenda.gov.br,Yes – official SERPRO API,Yes – free public search,Paid via SERPRO Store,Free Receita Federal lookup 7,REST/JSON,Automated validations,14-digit numeric ID,Mandatory for all operations
Bahamas,Business register number,Business register,International/Domestic companies,rgd.gov.bs,No direct public API,Yes – Deeds & Docs search,N/A,BS$4.50 per page; search BS$10/hr,Web portal search,Customer-driven filing,Instrument Data Form 19,Managed by Registrar General
Belarus,Registration number (USR),State register,LLC, JSC, individual entrepreneurs,egr.gov.by,Yes – NAIS system-to-system,Yes – portal application,Electronic app fee ~32 BYN,Pay-per-extract via ERIP,HTTP; XML (via NCES),5-7 day processing time,USR Extract schema,Managed by Ministry of Justice
Canada,Registration number (BN),Federal register,CBCA business/NFP corps, co-ops,ised-isde.canada.ca,Yes – Federal Corporation API,Yes – free public search,Free for developers; real-time,Free search; cert copies paid,REST (JSON/XML),Real-time status/directors,9-digit Business Number,Bilingual (EN/FR) support
Canada,BC Registries,Provincial register,BC limited companies, co-ops,bcregistry.gov.bc.ca,Yes – BC Registries API,Yes – search; paid docs,Fees per regulation; OAuth2,Extracts paid per tariff,REST; OpenAPI v3,Real-time link to systems,BC Data Model,Managed by BC Gov
Switzerland,Business Register (CH-number),Business register,All legal entities in Switzerland,zefix.ch,Yes – REST API (OFRC),Yes – free public search,Free consultation; API via registration 20,Free search by name/UID,REST API 20,Real-time cantonal data 20,Central index model,Managed by EHRA (OFRC) 20
Switzerland,Tax code (UID number),Entity identification,Enterprises, agencies, freelancers,uid.admin.ch,Yes – PartnerServices API,Yes – free basic lookup,Restricted to admin offices; login 23,PublicServices search limited,Webservice; sedex (push) 23,Daily XML push notifications 23,UID-GUI specs 23,UID is the master key 24
Chile,Tax code (RUT),Tax register,All Chilean entities (VAT affected),sii.cl,Yes – automated API query,Yes – individual RUT consult,Authorized (Res. 117/2025),Free tax status lookup,SOAP/REST,Real-time DTE validation,RUT (XX.XXX.XXX-X),Critical for e-invoicing
China,Tax code (USCN code),Credit/Business info,All legal entities in China,gsxt.gov.cn,Yes – via 3rd party brokers,Yes – public search,Paid via 3rd party (e.g. The KYB),Free USC number search,Web portal; Broker API,18-digit numerical code,Unified Social Credit,Maintained by SAMR
Colombia,Tax code (NIT),Business register,All legal Colombian entities,rues.org.co,Yes – via Verifik/Apitude API,Yes – web search,Verifik RUES API is paid,Free name/NIT lookup,REST API (3rd party),Real-time RUES connection,NIT format,Chamber of Commerce data 25
Cyprus,Business register number,Business register,Domestic/foreign companies,companies.gov.cy,Yes – via National Open Data Portal,Yes – free eSearch,Free on portal; API (store.cy),Free basic search; docs paid,Web portal; API (store.cy),Continuous filings,5 entity types register 26,Accelerated registration extra
Cyprus,CBC internal code,FI internal list,Registered financial institutions,centralbank.cy,No – periodic Excel/CSV,No – Excel download only,Free of charge,Free Excel download,CSV/XLSX 28,Updated as needed 28,CBC Internal Schema 28,Central Bank of Cyprus lists
Czech Republic,Business register (ICO),Public register,Obchodní rejstřík, associations,justice.cz,Yes – PRIS REST API,Yes – free public search,Free API access for devs,Free "Collection of Instruments",REST API; XML/JSON,Once daily (working days),IČO identifier,Source for authoritative data
Czech Republic,rodné číslo (PIN),Individuals,All Czech residents and citizens,—,Restricted – via ISZR,No public search,Gated via official agreements,Order extract at Czech POINT,SOAP/WSDL,Real-time sync with ISZR,10-digit numeric,Personal ID number
Germany,Cooperative (GnR) / Trade (HRA/HRB),Business register,GnR, HR (A/B), partnerships,handelsregister.de,No public REST; portal XML access,Yes – free search; paid documents,Basic search free; docs paid per view 9,Free web lookup; extracts paid 9,XML downloads; Portal API 9,Continuous official publications 9,Steuernummer for tax ID 9,Regional court records 9
Germany,Association register (VR),Association register,All registered associations,handelsregister.de,Portal-based search,Yes – free basic search,Same as Handelsregister portal,Free basic; documents paid,Portal access,Statutory updates,Vereinsregisternummer,Managed by local courts
Germany,Tax code (Steuernummer),Local Tax ID,All registered taxpayers,—,Restricted – official use only,No public search,N/A,Individuals order own info,N/A,Annual return cycle,10/11-digit numeric,Issued by local Finanzamt
Germany,Public sector identifier,Entity identifier,Government and fund entities,destatis.de,Yes – GENESIS-Online API,Yes – free web search,Free; DL-DE BY 2.0 license 9,Free search on Destatis,REST/JSON 9,Per release schedule 9,AT-ZVR identifiers,Managed by Federal Statistics
Denmark,Business register (CVR),Business register,A/S, ApS, P/S, K/S, foundations,datacvr.virk.dk,Yes – CVR Elasticsearch API,Yes – free search,API keys required; bulk free 9,Free basic; docs may be paid,REST (Elasticsearch) 9,Daily; historical versions 9,NLOD/CC-BY license 9,Datafordeler model 9
Denmark,National supervisory (FT-nummer),Financial supervisor,Banks, Mortgage, Insurers, VASPs,virksomhedsregister.finanstilsynet.dk,No general public API,Yes – free web search,N/A,Free web search; exports,Site exports,Nightly refresh,FT-nummer identifier,Includes consumer warnings
Denmark,CPR-nummer (PIN),Individuals,All Danish residents and citizens,—,Yes – restricted via brokers 9,No public search,Paid; strict purpose limit 9,Municipality extracts paid,SOAP/REST (via brokers) 9,Real-time event notifications,10-digit numeric,Managed by CPR Office 9
Ecuador,Tax code (RUC),Tax identification,Individuals and companies (TIN),https://www.sri.gob.ec/RUC,Yes – via python scraping,Yes – free RUC lookup,N/A,Free public web search,Web; XML (e-invoicing),Real-time verification,13-digit numeric,Mandatory for all tax ops
Estonia,Business register (rg-kood),e-Business register,OÜ, AS, SA, MTÜ, branches,ariregister.rik.ee,Yes – contractual client API,Yes – free basic search,Contract required; core free 9,Free basic; pay-per-view docs 9,XML services; bulk feeds,Real-time via X-tee layer 9,X-tee data exchange 9,Primary digital KYB node 29
Spain,Tax code (NIF),Business register,All Spanish legal entities,registradores.org,No open public API,Yes – request extracts,Paid services; contracts required 9,Fees per extract/certification 9,Portal access 9,Continuous; BORME daily 9,NIF alphanumeric format 9,Provincial registry indices 9
Spain,Documento Nacional Identidad,Individuals,All Spanish citizens (DNI) / NIE,—,Yes – restricted for authorities,No public search,N/A,Order own extract,N/A,Permanent issuance,Alphanumeric,Personal ID number
Finland,Business register (Y-tunnus),Business register,Oy/Oyj, associations, co-ops,ytj.fi,Yes – PRH OpenData API,Yes – free search; Virre,Open data free (daily JSON) 9,Free search; Virre docs paid 9,REST/JSON (OpenData) 9,Daily refresh 9,avoindata.prh.fi 9,PRH/Tax Admin joint venture 9
France,Business register (SIREN),National Enterprise (RNE),Commercial, liberal, agricultural,registre.entreprises.gouv.fr,Yes – INPI RNE APIs,Yes – DATA INPI search,Account required for daily API 9,Free search; some docs paid 9,REST/JSON; FTP bulk 9,Daily (RNE); weekly (brands) 9,SIREN/SIRET codes 9,RNE replaced RNCS in 2023 9
France,Supervisory code (CIB),Financial supervisor,Authorised firms, CIB code holders,regafi.fr,Yes – REGAFI API,Yes – free portal,Free (IBM Client ID required),Free web lookup,REST/JSON 30,Updated daily/weekly 30,CIB (Code interbancaire) 31,ACPR/Banque de France 30
France,Investment fund (IF code),Entity identifier,Monetary and Investment Funds,ecb.europa.eu,Yes – ECB SDMX REST API,Yes – ECB search portal,Free for statistical queries,Free web lookup,REST API,Monthly updates,IF-code identifiers,ESCB financial list
UK,Business register (CRN),Business register,Ltd, PLC, LLP, Overseas (ROE),gov.uk/companies-house,Yes – free Public Data API,Yes – free web search,Free API key via Developer Hub,Free search and images,REST/JSON; Streaming 9,Real-time streaming API 9,OpenAPI specs 9,PSC ownership integrated 9
UK,Supervisory code (FSR),Financial supervisor,Authorised firms & individuals,register.fca.org.uk,Yes – free developer API,Yes – free web search,Free with registration; no SLA,Free web search,REST/JSON 9,Regular snapshots 9,FS Register API docs,Statutory public record 9
UK,Unique Taxpayer Ref (UTR),Tax identification,All UK taxpayers (individuals/corps),—,Yes – via restricted HMRC API,No public search,Commercial keys via HMRC portal,Gated via personal login,REST/JSON,Continuous,10-digit numeric,Managed by HMRC
UK,National Insurance number,Individuals,All UK citizens/workers,—,Restricted – DWP/HMRC use only,No public search,N/A,Order own record,N/A,Permanent,Alphanumeric,Personal ID number
Guernsey,Entity Reg Number,Business register,All Guernsey companies/partnerships,greg.gg,No direct public API,Yes – free basic search,N/A,Free basic; docs £2-£25 32,Web portal 32,Standard (24h) / Rapid (2h) 33,Entity Reg Number 32,Restricted UBO access 32
Greece,International Maritime (IMO),Shipping identifier,Registered vessels and shipowners,imonumbers.lrfairplay.com,Yes – via commercial maritime APIs,Yes – free basic lookup,Subscription-based (Equasis/S&P),Free for registered users,Web service,Daily/weekly,7-digit IMO Number,Mandatory for SOLAS
Greece,Tax code (AMF),Commercial register,All Greek legal entities (GEMI),businessregistry.gr,No direct public API,Yes – free basic search,N/A,Free basic search,Web portal,Continuous filings,AMF (Tax code),General Electronic Registry
Hong Kong,Corporate register (CR-No.),Business register,Local limited, non-HK with place,icris.cr.gov.hk,No direct public API,Yes – Cyber Search Centre,Sub HK$500/year (e-Search) 34,Free name/BRN enquiry,Cyber Search Portal 26,e-Monitor service (HK$17/yr),UBI (8-digit BRN) 4,Mandatory local secretary
Croatia,Trade register (MBS),Court register,All commercial court entities,sudreg.pravosudje.hr,Yes – Court Register API,Yes – free public search,Subscription keys free/login,Free web consultation 37,REST API; XML/JSON 37,Updated once daily 37,MBS identifier,Ministry of Justice portal
Croatia,Tax code (OIB),Tax identification,Natural and legal persons,oib.hr,Yes – via NIAS/e-Citizens,Yes – free lookup,Free for authorized e-Citizens,Free personal OIB check,e-services,Real-time verification,11-digit numeric 37,Primary key for financial ops 37
Hungary,Trade register number,Trade register,All Hungarian company forms,e-cegjegyzek.hu,No direct public API,Yes – free basic search,N/A,Free basic; paid docs 12,Web portal 12,Continuous publications 39,Törzsszám (Tax code) 39,Ministry of Justice service 39
Hungary,Adóazonosító jel (TIN),Individuals,All Hungarian residents / citizens,—,Restricted – NAV use only,No public search,N/A,Order own certificate,N/A,Permanent,10-digit numeric,Managed by NAV
Indonesia,Tax code (NPWP),Business/Tax ID,All legal entities in Indonesia,ahu.go. Indonesia,Yes – via DJP e-registration,Yes – web search,Free for authorized tax agents,Free search; docs paid 40,Web portal 41,Periodic snapshots 41,NPWP (15-digit) 37,Ministry of Law & Human Rights 40
Ireland,CRO number,Business register,Companies, partnerships,opendata.cro.ie,Yes – Open Data API,Yes – CORE web search,Free (CC BY 4.0 license) 9,Basic info free; certs paid 9,REST/JSON 9,Daily snapshots 9,CRO Data Model 9,EU HVD compliant 9
Ireland,AnaCredit (Gov Bodies ID),Govt register,Govt bodies; credit reporting,landdirect.ie,Yes – MapGenie OGC API,Yes – Landdirect portal,Licensed access (MapGenie) 9,Guest search paid 9,WMS/WMTS/REST 9,Regular updates 9,tailte.ie specs 9,Formed from OSi/PRA/Valuation 9
Israel,Tax identification number,Business register,Companies, partnerships, trusts,gov.il/en/corp,Yes – ITA API portal,Yes – free basic search,API keys for authorized orgs,Basic info free; extracts paid,REST (OAuth2),Annual reports (no cost),9-digit BID (VAT No),Hebrew/English certs
Isle of Man,Registration number,Business register,All IOM companies/partnerships,services.gov.im,No direct public API,Yes – search; paid docs,Access via 3rd party brokers,£37 extraction fee; search £5 42,Web portal,Statutory filings only,Suffix-based numbering 24,Distinct suffixes per type 24
Isle of Man,Tax Reference Number,Tax identification,All Isle of Man taxpayers,—,Restricted – Income Tax use,No public search,N/A,Order own certificate,N/A,Permanent,Alphanumeric,Managed by Treasury
India,Corporate identity (CIN),Ministry of Corp Affairs,Companies, LLPs, foreign,mca.gov.in,Yes – via authorized DSPs,Yes – manual portal login,Credit-based; Technowire API,Free search; downloads paid,REST API (3rd party),V3 Document Retrieval,CIN/PAN-based indexing 43,Transition to V3 portal
India,Permanent account (PAN),Tax identification,All Indian taxpayers,—,Yes – via NSDL/UTI API,No public search,Verification costs ~₹1-₹5,Own info lookup,REST API,Per filing updates,10-char alphanumeric,Mandatory for bank ops 44
Iceland,Identification number (KT),Register of Enterprises,ehf., hf., cooperatives, branches,skatturinn.is,Limited – via brokers,Yes – free search,Paid via brokers (e.g. Já.is) 9,Free search; accounts paid 9,REST (via brokers) 9,Regular updates by RSK 9,Kennitala (KT) schema 9,Managed by Skatturinn 9
Iceland,Kennitala (PIN),Individuals,All Icelandic residents / citizens,—,Yes – via Creditinfo API,No public search,Paid; contract required,Order own certificate,REST/JSON,Real-time sync,10-digit numeric,Personal ID number
Italy,CCIAA+REA,Business register,S.r.l., S.p.A., cooperative, consortia,registroimprese.it,Yes – paid APIs,Yes – search; docs paid,Commercial contract required 9,Basic free; certs paid 9,REST/SOAP 9,Continuous filings 9,Partita IVA/REA codes 9,Chambers of Commerce 9
Italy,Codice OICR / UCITS,FI Identifier,Mutual funds, pension funds,infostat.bancaditalia.it,Yes – SDMX REST API,Yes – web lookup,Free for statistical queries,Free web search,REST API,Monthly updates,OICR identifiers,Bank of Italy database
Italy,Codice Fiscale (CF),Tax identification,Natural and legal persons,—,Yes – via Agenzia Entrate API,Yes – verify tool,Gated for authorized systems,Free verify on AE site,SOAP/REST,Real-time sync,Alphanumeric (16),Tax identification number
Jersey,Tax reference number,Tax identification,All Jersey taxpayers,—,Restricted – Revenue Jersey,No public search,N/A,Order own info,N/A,Permanent,Alphanumeric,Managed by Treasury
Japan,Corporate number,Tax/Entity ID,All registered corps, agencies,houjin-bangou.nta.go.jp,Yes – free public API,Yes – free web search,Free to use; no restrictions,Free search by name/number,REST API,Change history provided,13-digit Corporate Number,Commissioner of NTA
Korea (South),Business registration (TIN),Business registration,All businesses with TIN (BRN),data.go.kr,Yes – free public OpenAPI,Yes – NTS web search,Free; service key required,Free verify on NTS site,REST API (JSON/XML) 31,Edited/updated via NTS,10-digit (XXX-XX-XXXXX),NTS "Scientific Tax Admin"
Liechtenstein,Registration (FL-Nummer),Handelsregister,Companies, foundations,oera.li,No direct public API,Yes – free basic search,N/A,Free basic; extracts paid 39,Web portal 39,Statutory updates 39,FL-nummer format 39,Office of Justice (AJU) 39
Lithuania,JAR kodas,Legal Entities (JAR),UAB, AB, MB, VšĮ, branches,registrucentras.lt/jar,Yes – via RC service contracts,Yes – public search,RC service contracts; fees apply 9,Public search free; docs paid 9,RC interfaces; REST 9,Continuous filings 9,JAR/RC Data Model 9,National registrar since 2004 9
Lithuania,Asmens kodas (TIN),Individuals,All Lithuanian residents / citizens,—,Restricted – RC contracts,No public search,Paid; agreement required,Order own certificate,SOAP/REST,Real-time sync,11-digit numeric,Personal ID number
Luxembourg,RCS Luxembourg,Trade register,All Luxembourg company forms,lbr.lu,No direct public API,Yes – free basic search,N/A,Free search; filings paid 12,Web portal 12,Statutory filings 12,RCS identifiers 12,Managed by LBR 12
Luxembourg,Matricule / PM (TIN),Tax identification,Legal persons (PM) / individuals,—,Restricted – ACD access,No public search,N/A,Order own record,N/A,Permanent,11-digit (YYYYMMDDNNN),Managed by ACD
Luxembourg,Investment fund (IF code),Entity identifier,Funds supervised by CSSF,supervisedentities.apps.cssf.lu,Yes – via restricted CSSF API,Yes – free search,Agreement with CSSF required,Free search on portal,Web service,Updated daily,CSSF identifier,Managed by CSSF
Luxembourg,Public sector / VAT,Entity identifier,Govt and state-owned bodies,—,Restricted – via CTIE,No public search,N/A,N/A,N/A,Statutory,Numeric,Managed by CTIE
Latvia,Business register (NBR),Enterprise register,SIA, AS, KS, individual merchant,registrs.ur.gov.lv,Yes – UR APIs,Yes – portal search,National API manager login 9,Basic search free; docs paid 9,REST/JSON 9,Event notifications (API) 9,UR API catalogue 9,SIA fast-track flow available 9
Latvia,Personas kods (TIN),Individuals,All Latvian residents / citizens,—,Yes – restricted via brokers,No public search,Paid; agreement required,Order own record,SOAP/REST,Real-time sync,11-digit numeric,Personal ID number
Monaco,Trade register (RCI),Trade register,All commercial entities in Monaco,rci.gouv.mc,No direct public API,Yes – free search,N/A,Free search; docs paid 39,Web portal 31,Statutory updates 31,RCI number 31,Managed by Gov Monaco 31
Monaco,Supervisory code (CIB),Financial supervisor,Authorised firms in Monaco,regafi.fr,Yes – via REGAFI API,Yes – free portal,Free (IBM Client ID required),Free web lookup,REST/JSON,Monthly updates,CIB code,Supervised by ACPR/CCAF
Marshall Is.,Business register number,Business register,Non-resident corporations, LLCs,register-iri.com,No direct public API,Yes – free basic search,N/A,Free search; certs paid 31,Web portal 31,Statutorily updated 31,IRI Corporate Schema 31,International Registries, Inc. 31
Malta,MBR Company Reg No,Business register,All Maltese companies,mbr.mt,No direct public API,Yes – free basic search,N/A,Free search; docs paid 12,Web portal 12,Statutory filings 12,MBR company ID 12,Malta Business Registry 12
Malta,Tax code (TIN),Tax identification,Natural persons and entities,—,Restricted – CfR access,No public search,N/A,Order own record,N/A,Permanent,Alphanumeric,Managed by CfR
Mexico,Tax code (RFC),Tax identification,Persona Física / Persona Moral,sat.gob.mx,Yes – via 3rd party APIs,Yes – RFC verification,Free portal; CRiskCo/Verifik paid,Free "Consulta de RFC",REST API (3rd party),Real-time SAT verification,12/13-char alphanumeric,Legally required (Art. 27)
Malaysia,Company Reg No - Old,Business register,Entities registered before 2017,ssm.com.my,Yes – via MyData/SSM e-Service,Yes – free basic search,Paid API via MyData 7,Basic info free; extracts paid 39,Web service 7,Historical records 39,6-digit numeric (legacy),Managed by SSM 39
Netherlands,Trade register (KvK-nummer),Handelsregister,All entities registered with KVK,kvk.nl/zoeken,Yes – KVK APIs,Yes – free search,Subscription + per-call fees 9,Paid for official extracts 9,REST/JSON 9,Continuous autofill/valid 9,KvK-nummer master key 9,AMLD6 aligned by 2025 9
Netherlands,Tax code (RSIN),Tax identification,All legal entities in Netherlands,kvk.nl/zoeken,Yes – via KVK Basisprofiel API,Yes – free web search,Included in KVK API subscription 9,Visible on KVK extract 9,REST/JSON 9,Statutory tax sync 9,9-digit numeric 9,Primary key for tax ops 9
Netherlands,Persoonsnummer (BSN),Individuals,All Dutch residents / citizens,—,Restricted – BRP access,No public search,N/A,Order own BRP extract,SOAP/REST,Real-time sync,9-digit numeric,Managed by BRP Office
Norway,Business register (Org No),Business register,AS/ASA, ENK, NUF, SE/EEIG,brreg.no,Yes – extensive open APIs,Yes – free web search,Open data free (NLOD) 9,Free search; docs paid 9,REST (multiple) 9,Change logs / Delta APIs 9,GitHub OpenAPI specs 9,Global open data leader 9
Norway,PIN (D/F-nummer),Individuals,Residents (F) / temporary (D),—,Yes – via restricted API,Yes – own data lookup,Paid for non-authorities; OAuth2 9,Self-service portal,REST 9,Continuous updates 9,11-digit numeric,Managed by Skatteetaten 9
Panama,Tax code (RUC),Tax identification,All legal entities in Panama,dgi.mef.gob.pa,Yes – via Verifik API,Yes – free public search,Verifik Panama API is paid,Free RUC lookup,REST API (3rd party),Real-time gov connection,RUC alphanumeric,Managed by DGI
